hand_size,menu,allowed_sizes,method,samples,seed,mean_maximum_activations,probability_at_least_1_activations,probability_at_least_2_activations,probability_at_least_3_activations,probability_at_least_4_activations,probability_at_least_5_activations
4,15;21;31,2;3;4;5,monte_carlo_with_exact_per_hand_packing,5000,20262919,0.6356,0.621,0.0146,0,0,0
4,15;21;31,2,monte_carlo_with_exact_per_hand_packing,5000,20262919,0.3416,0.327,0.0146,0,0,0
4,15;21;31,3,monte_carlo_with_exact_per_hand_packing,5000,20262919,0.3814,0.3814,0,0,0,0
4,15;21;31,4,monte_carlo_with_exact_per_hand_packing,5000,20262919,0.118,0.118,0,0,0,0
4,15;21;31,5,monte_carlo_with_exact_per_hand_packing,5000,20262919,0,0,0,0,0,0
5,15;21;31,2;3;4;5,monte_carlo_with_exact_per_hand_packing,5000,20262920,0.9354,0.8324,0.103,0,0,0
5,15;21;31,2,monte_carlo_with_exact_per_hand_packing,5000,20262920,0.4762,0.432,0.0442,0,0,0
5,15;21;31,3,monte_carlo_with_exact_per_hand_packing,5000,20262920,0.6544,0.6544,0,0,0,0
5,15;21;31,4,monte_carlo_with_exact_per_hand_packing,5000,20262920,0.4128,0.4128,0,0,0,0
5,15;21;31,5,monte_carlo_with_exact_per_hand_packing,5000,20262920,0.0668,0.0668,0,0,0,0
6,15;21;31,2;3;4;5,monte_carlo_with_exact_per_hand_packing,5000,20262921,1.283,0.9192,0.3616,0.0022,0,0
6,15;21;31,2,monte_carlo_with_exact_per_hand_packing,5000,20262921,0.655,0.5566,0.0962,0.0022,0,0
6,15;21;31,3,monte_carlo_with_exact_per_hand_packing,5000,20262921,0.9106,0.8226,0.088,0,0,0
6,15;21;31,4,monte_carlo_with_exact_per_hand_packing,5000,20262921,0.7588,0.7588,0,0,0,0
6,15;21;31,5,monte_carlo_with_exact_per_hand_packing,5000,20262921,0.3102,0.3102,0,0,0,0
7,15;21;31,2;3;4;5,monte_carlo_with_exact_per_hand_packing,5000,20262922,1.6478,0.9574,0.6578,0.0326,0,0
7,15;21;31,2,monte_carlo_with_exact_per_hand_packing,5000,20262922,0.8418,0.6566,0.177,0.0082,0,0
7,15;21;31,3,monte_carlo_with_exact_per_hand_packing,5000,20262922,1.2556,0.9034,0.3522,0,0,0
7,15;21;31,4,monte_carlo_with_exact_per_hand_packing,5000,20262922,0.8958,0.8958,0,0,0,0
7,15;21;31,5,monte_carlo_with_exact_per_hand_packing,5000,20262922,0.5968,0.5968,0,0,0,0
8,15;21;31,2;3;4;5,monte_carlo_with_exact_per_hand_packing,5000,20262923,1.975,0.9792,0.8052,0.19,0.0006,0
8,15;21;31,2,monte_carlo_with_exact_per_hand_packing,5000,20262923,1.0152,0.7194,0.2626,0.0326,0.0006,0
8,15;21;31,3,monte_carlo_with_exact_per_hand_packing,5000,20262923,1.554,0.9518,0.6022,0,0,0
8,15;21;31,4,monte_carlo_with_exact_per_hand_packing,5000,20262923,1.0698,0.9524,0.1174,0,0,0
8,15;21;31,5,monte_carlo_with_exact_per_hand_packing,5000,20262923,0.76,0.76,0,0,0,0
9,15;21;31,2;3;4;5,monte_carlo_with_exact_per_hand_packing,5000,20262924,2.3744,0.9892,0.8996,0.4732,0.0124,0
9,15;21;31,2,monte_carlo_with_exact_per_hand_packing,5000,20262924,1.2234,0.792,0.3612,0.0658,0.0044,0
9,15;21;31,3,monte_carlo_with_exact_per_hand_packing,5000,20262924,1.844,0.9754,0.7796,0.089,0,0
9,15;21;31,4,monte_carlo_with_exact_per_hand_packing,5000,20262924,1.5618,0.9738,0.588,0,0,0
9,15;21;31,5,monte_carlo_with_exact_per_hand_packing,5000,20262924,0.8664,0.8664,0,0,0,0
10,15;21;31,2;3;4;5,monte_carlo_with_exact_per_hand_packing,5000,20262925,2.73,0.993,0.942,0.7064,0.0884,0.0002
10,15;21;31,2,monte_carlo_with_exact_per_hand_packing,5000,20262925,1.4124,0.844,0.4478,0.1138,0.0066,0.0002
10,15;21;31,3,monte_carlo_with_exact_per_hand_packing,5000,20262925,2.253,0.987,0.8728,0.3932,0,0
10,15;21;31,4,monte_carlo_with_exact_per_hand_packing,5000,20262925,1.846,0.9888,0.8572,0,0,0
10,15;21;31,5,monte_carlo_with_exact_per_hand_packing,5000,20262925,0.9966,0.9352,0.0614,0,0,0
11,15;21;31,2;3;4;5,monte_carlo_with_exact_per_hand_packing,5000,20262926,3.1206,0.9984,0.9714,0.8292,0.3182,0.0034
11,15;21;31,2,monte_carlo_with_exact_per_hand_packing,5000,20262926,1.6074,0.8784,0.5388,0.1664,0.0232,0.0006
11,15;21;31,3,monte_carlo_with_exact_per_hand_packing,5000,20262926,2.5564,0.9962,0.9302,0.63,0,0
11,15;21;31,4,monte_carlo_with_exact_per_hand_packing,5000,20262926,1.9204,0.996,0.9244,0,0,0
11,15;21;31,5,monte_carlo_with_exact_per_hand_packing,5000,20262926,1.3354,0.97,0.3654,0,0,0
12,15;21;31,2;3;4;5,monte_carlo_with_exact_per_hand_packing,5000,20262927,3.4896,0.999,0.9842,0.8922,0.5788,0.0354
12,15;21;31,2,monte_carlo_with_exact_per_hand_packing,5000,20262927,1.807,0.9166,0.6114,0.2344,0.0432,0.0014
12,15;21;31,3,monte_carlo_with_exact_per_hand_packing,5000,20262927,2.807,0.998,0.9614,0.7652,0.0824,0
12,15;21;31,4,monte_carlo_with_exact_per_hand_packing,5000,20262927,2.1248,0.9984,0.9626,0.1638,0,0
12,15;21;31,5,monte_carlo_with_exact_per_hand_packing,5000,20262927,1.573,0.9846,0.5884,0,0,0
