hand_size,cards_played,total,definition,method,samples,seed,exact_ability_probability,ability_successes,critical_successes,run_probability,match_probability,critical_probability,critical_probability_ci95_low,critical_probability_ci95_high,critical_available_given_ability,conditional_ci95_low,conditional_ci95_high,average_critical_ways
4,2,2,rank,monte_carlo,100000,20260919,0.025712438821682518,2565,2565,0,0.02565,0.02565,0.024688226620240318,0.02664821723893239,1,0.9985045399451644,1,0.02711
4,2,3,rank,monte_carlo,100000,20260919,0.06396158463385354,6341,6341,0.06341,0,0.06341,0.06191624563935914,0.06493729715494088,1,0.9993945317720776,1,0.07188
4,2,4,rank,monte_carlo,100000,20260919,0.08931942007572259,8927,2502,0,0.02502,0.02502,0.02407004325380136,0.026006449007671927,0.2802733281057466,0.27105232748608504,0.2896833595067288,0.02676
4,2,5,rank,monte_carlo,100000,20260919,0.12697756025487117,12654,6449,0.06449,0,0.06449,0.0629842752841298,0.06602918453479782,0.509641220167536,0.5009293496809434,0.5183472385171582,0.07293
4,2,6,rank,monte_carlo,100000,20260919,0.15198079231692677,15303,2647,0,0.02647,0.02647,0.025493078479215753,0.027483302380137152,0.17297261974776187,0.16706226922709277,0.17904712018476343,0.02777
4,2,7,rank,monte_carlo,100000,20260919,0.1890479268630529,18783,6340,0.0634,0,0.0634,0.06190635705478777,0.06492718650780276,0.33753926422829156,0.3308104617294383,0.34433450782201636,0.07197
4,2,8,rank,monte_carlo,100000,20260919,0.21369655554529504,21398,2506,0,0.02506,0.02506,0.024109288256733547,0.02604720093157779,0.11711374894849987,0.11287381797875456,0.12149113498865738,0.02625
4,2,9,rank,monte_carlo,100000,20260919,0.25017268445839874,25025,6359,0.06359,0,0.06359,0.0620942419896763,0.06511928697539499,0.2541058941058941,0.24874986734770277,0.25953740392577085,0.07162
4,2,10,rank,monte_carlo,100000,20260919,0.27446670976082743,27606,2504,0,0.02504,0.02504,0.024089665674070778,0.026026825050821534,0.09070491922045933,0.08737379071400934,0.09414994537290831,0.02651
4,2,11,rank,monte_carlo,100000,20260919,0.4315523132329855,43193,6456,0.06456,0,0.06456,0.06305350366649061,0.06609995077440363,0.1494686639038733,0.14613728577708066,0.1528623892361962,0.0726
4,2,12,rank,monte_carlo,100000,20260919,0.39744020685197157,39597,2625,0,0.02625,0.02625,0.025277117424500894,0.02725928033724269,0.06629290097734677,0.06388418060295317,0.06878576750239215,0.02747
4,2,13,rank,monte_carlo,100000,20260919,0.3742099916889833,37338,6298,0.06298,0,0.06298,0.06149104619953042,0.06450252963126045,0.1686753441534094,0.16491115100906134,0.17250770837574203,0.07116
4,2,14,rank,monte_carlo,100000,20260919,0.3395068796749469,33967,2725,0,0.02725,0.02725,0.026258903113808272,0.02827741781888678,0.08022492419112669,0.07738333144555934,0.08316145764792018,0.02885
4,2,15,rank,monte_carlo,100000,20260919,0.31592206113214516,31630,6433,0.06433,0,0.06433,0.062826040906373,0.06586743120520236,0.20338286436926967,0.19898303978745205,0.20785473106362282,0.0732
4,2,16,rank,monte_carlo,100000,20260919,0.28062794348508635,28188,2613,0,0.02613,0.02613,0.025159328202021925,0.027137078779207482,0.0926990208599404,0.08936868590162182,0.09614035867246519,0.02771
4,2,17,rank,monte_carlo,100000,20260919,0.25668852156247113,25668,6432,0.06432,0,0.06432,0.06281615134683408,0.06585732153303178,0.2505843852267415,0.2453204778372837,0.25592293899651297,0.07254
4,2,18,rank,monte_carlo,100000,20260919,0.22080339828238987,22242,2646,0,0.02646,0.02646,0.025483261672882302,0.02747311995476109,0.11896412193148098,0.11477503192485927,0.12328481293171833,0.02778
4,2,19,rank,monte_carlo,100000,20260919,0.1965093729799612,19488,6444,0.06444,0,0.06444,0.06293482675316023,0.0659786369072198,0.33066502463054187,0.32409372927178803,0.33730306763220474,0.07318
4,2,20,rank,monte_carlo,100000,20260919,0.36043956043956044,36043,24831,0.17138,0.10049,0.24831,0.24564193690106556,0.25099740020216027,0.6889271148350581,0.6841279033403763,0.6936860574810898,0.3231
4,2,21,rank,monte_carlo,100000,20260919,0,0,0,0,0,0,0,0.000038414524267635735,,,,0
4,2,22,rank,monte_carlo,100000,20260919,0,0,0,0,0,0,0,0.000038414524267635735,,,,0
4,2,23,rank,monte_carlo,100000,20260919,0,0,0,0,0,0,0,0.000038414524267635735,,,,0
4,2,24,rank,monte_carlo,100000,20260919,0,0,0,0,0,0,0,0.000038414524267635735,,,,0
4,2,25,rank,monte_carlo,100000,20260919,0,0,0,0,0,0,0,0.000038414524267635735,,,,0
