definition,cards_played,kind,pattern,total
rank,2,match,1-1,2
rank,2,match,2-2,4
rank,2,match,3-3,6
rank,2,match,4-4,8
rank,2,match,5-5,10
rank,2,match,6-6,12
rank,2,match,7-7,14
rank,2,match,8-8,16
rank,2,match,9-9,18
rank,2,match,10-10,20
rank,2,match,11-11,20
rank,2,match,12-12,20
rank,2,match,13-13,20
rank,2,run,1-2,3
rank,2,run,2-3,5
rank,2,run,3-4,7
rank,2,run,4-5,9
rank,2,run,5-6,11
rank,2,run,6-7,13
rank,2,run,7-8,15
rank,2,run,8-9,17
rank,2,run,9-10,19
rank,2,run,10-11,20
rank,2,run,11-12,20
rank,2,run,12-13,20
rank,3,match,1-1-1,3
rank,3,match,2-2-2,6
rank,3,match,3-3-3,9
rank,3,match,4-4-4,12
rank,3,match,5-5-5,15
rank,3,match,6-6-6,18
rank,3,match,7-7-7,21
rank,3,match,8-8-8,24
rank,3,match,9-9-9,27
rank,3,match,10-10-10,30
rank,3,match,11-11-11,30
rank,3,match,12-12-12,30
rank,3,match,13-13-13,30
rank,3,run,1-2-3,6
rank,3,run,2-3-4,9
rank,3,run,3-4-5,12
rank,3,run,4-5-6,15
rank,3,run,5-6-7,18
rank,3,run,6-7-8,21
rank,3,run,7-8-9,24
rank,3,run,8-9-10,27
rank,3,run,9-10-11,29
rank,3,run,10-11-12,30
rank,3,run,11-12-13,30
rank,4,match,1-1-1-1,4
rank,4,match,2-2-2-2,8
rank,4,match,3-3-3-3,12
rank,4,match,4-4-4-4,16
rank,4,match,5-5-5-5,20
rank,4,match,6-6-6-6,24
rank,4,match,7-7-7-7,28
rank,4,match,8-8-8-8,32
rank,4,match,9-9-9-9,36
rank,4,match,10-10-10-10,40
rank,4,match,11-11-11-11,40
rank,4,match,12-12-12-12,40
rank,4,match,13-13-13-13,40
rank,4,run,1-2-3-4,10
rank,4,run,2-3-4-5,14
rank,4,run,3-4-5-6,18
rank,4,run,4-5-6-7,22
rank,4,run,5-6-7-8,26
rank,4,run,6-7-8-9,30
rank,4,run,7-8-9-10,34
rank,4,run,8-9-10-11,37
rank,4,run,9-10-11-12,39
rank,4,run,10-11-12-13,40
rank,5,run,1-2-3-4-5,15
rank,5,run,2-3-4-5-6,20
rank,5,run,3-4-5-6-7,25
rank,5,run,4-5-6-7-8,30
rank,5,run,5-6-7-8-9,35
rank,5,run,6-7-8-9-10,40
rank,5,run,7-8-9-10-11,44
rank,5,run,8-9-10-11-12,47
rank,5,run,9-10-11-12-13,49
value,2,match,1-1,2
value,2,match,2-2,4
value,2,match,3-3,6
value,2,match,4-4,8
value,2,match,5-5,10
value,2,match,6-6,12
value,2,match,7-7,14
value,2,match,8-8,16
value,2,match,9-9,18
value,2,match,10-10,20
value,2,run,1-2,3
value,2,run,2-3,5
value,2,run,3-4,7
value,2,run,4-5,9
value,2,run,5-6,11
value,2,run,6-7,13
value,2,run,7-8,15
value,2,run,8-9,17
value,2,run,9-10,19
value,3,match,1-1-1,3
value,3,match,2-2-2,6
value,3,match,3-3-3,9
value,3,match,4-4-4,12
value,3,match,5-5-5,15
value,3,match,6-6-6,18
value,3,match,7-7-7,21
value,3,match,8-8-8,24
value,3,match,9-9-9,27
value,3,match,10-10-10,30
value,3,run,1-2-3,6
value,3,run,2-3-4,9
value,3,run,3-4-5,12
value,3,run,4-5-6,15
value,3,run,5-6-7,18
value,3,run,6-7-8,21
value,3,run,7-8-9,24
value,3,run,8-9-10,27
value,4,match,1-1-1-1,4
value,4,match,2-2-2-2,8
value,4,match,3-3-3-3,12
value,4,match,4-4-4-4,16
value,4,match,5-5-5-5,20
value,4,match,6-6-6-6,24
value,4,match,7-7-7-7,28
value,4,match,8-8-8-8,32
value,4,match,9-9-9-9,36
value,4,match,10-10-10-10,40
value,4,run,1-2-3-4,10
value,4,run,2-3-4-5,14
value,4,run,3-4-5-6,18
value,4,run,4-5-6-7,22
value,4,run,5-6-7-8,26
value,4,run,6-7-8-9,30
value,4,run,7-8-9-10,34
value,5,match,10-10-10-10-10,50
value,5,run,1-2-3-4-5,15
value,5,run,2-3-4-5-6,20
value,5,run,3-4-5-6-7,25
value,5,run,4-5-6-7-8,30
value,5,run,5-6-7-8-9,35
value,5,run,6-7-8-9-10,40
