hand_size,cards_played,peak_total,peak_probability,peak_decision_density,achievable_totals
4,2,11,0.4315523132329855,1.3420980553273076,19
4,3,21,0.2578446763320713,1.2438650526466586,28
4,4,27,0.06176008865084495,1,37
4,5,,0,,0
5,2,11,0.5927417120694431,1.6285494692673605,19
5,3,21,0.48216055653030443,1.6629521927738533,28
5,4,26,0.23831840428479084,1.2929574736026348,37
5,5,33,0.05743374272786037,1,45
6,2,11,0.7220697771743722,2.00529622853237,19
6,3,21,0.6810084426569318,2.354772436074056,28
6,4,26,0.48548666602483875,1.904082543234933,37
6,5,33,0.2519053447893069,1.3679839014745283,45
7,2,11,0.817635996261452,2.4792809153900746,19
7,3,21,0.8187650951649428,3.427521346722303,28
7,4,26,0.694376152225638,3.10631194131019,37
7,5,33,0.5288860538166736,2.2804696561409767,45
8,2,11,0.8845037929306309,3.0557989499783518,19
8,3,21,0.9018050327415295,4.979053768369547,28
8,4,26,0.8302976241138074,5.195604252683909,37
8,5,34,0.7477535218646391,4.258507158280736,45
9,2,11,0.9293413731069496,3.7393289728983428,19
9,3,21,0.948345338070538,7.102058026259351,28
9,4,26,0.9102806830216091,8.530353664690415,37
9,5,34,0.875869728573652,8.180104470582192,45
10,2,11,0.9582534247220008,4.5331342321840795,19
10,3,21,0.9734386951526425,9.884258253679567,28
10,4,26,0.9546242580910537,13.556845524119009,37
10,5,34,0.9421470280151063,15.209315890848542,45
11,2,11,0.9761891449481581,5.43870071777965,19
11,3,21,0.9866350141042054,13.409076369953729,28
11,4,26,0.978031367508536,20.793757503232044,37
11,5,34,0.97433688982834,26.96253062934167,45
12,2,11,0.986893017375014,6.455654880331309,19
12,3,21,0.9934274717784491,17.756524261349256,28
12,4,26,0.9898167824596772,30.819259857349504,37
12,5,34,0.9891747849415651,45.52814609028625,45
