shared_hand_size,ability_menu,method,samples,seed,mean_maximum_activations,probability_maximum_equals_0,probability_maximum_equals_1,probability_maximum_equals_2,probability_maximum_equals_3,probability_maximum_equals_4,probability_maximum_equals_5,probability_maximum_equals_6,probability_all_3_characters_can_act,probability_all_4_characters_can_act,probability_all_5_characters_can_act
4,15;21;31,monte_carlo_with_exact_per_hand_packing,5000,20261919,0.6362,0.3756,0.6126,0.0118,0,0,0,0,0,0,0
4,12;21;31;41,monte_carlo_with_exact_per_hand_packing,5000,20261919,0.6548,0.3668,0.6116,0.0216,0,0,0,0,0,0,0
5,15;21;31,monte_carlo_with_exact_per_hand_packing,5000,20261920,0.9266,0.1666,0.7402,0.0932,0,0,0,0,0,0,0
5,12;21;31;41,monte_carlo_with_exact_per_hand_packing,5000,20261920,0.9644,0.1638,0.708,0.1282,0,0,0,0,0,0,0
6,15;21;31,monte_carlo_with_exact_per_hand_packing,5000,20261921,1.2802,0.0832,0.5568,0.3566,0.0034,0,0,0,0.0034,0,0
6,12;21;31;41,monte_carlo_with_exact_per_hand_packing,5000,20261921,1.3448,0.068,0.5242,0.4028,0.005,0,0,0,0.005,0,0
7,15;21;31,monte_carlo_with_exact_per_hand_packing,5000,20261922,1.6418,0.0456,0.3028,0.6158,0.0358,0,0,0,0.0358,0,0
7,12;21;31;41,monte_carlo_with_exact_per_hand_packing,5000,20261922,1.7046,0.0324,0.2924,0.6134,0.0618,0,0,0,0.0618,0,0
8,15;21;31,monte_carlo_with_exact_per_hand_packing,5000,20261923,1.9932,0.0204,0.1582,0.6302,0.1902,0.001,0,0,0.1912,0.001,0
8,12;21;31;41,monte_carlo_with_exact_per_hand_packing,5000,20261923,2.0842,0.0116,0.1456,0.5924,0.2478,0.0026,0,0,0.2504,0.0026,0
9,15;21;31,monte_carlo_with_exact_per_hand_packing,5000,20261924,2.3782,0.0108,0.0888,0.4238,0.4646,0.012,0,0,0.4766,0.012,0
9,12;21;31;41,monte_carlo_with_exact_per_hand_packing,5000,20261924,2.4772,0.0054,0.071,0.3974,0.4934,0.0328,0,0,0.5262,0.0328,0
10,15;21;31,monte_carlo_with_exact_per_hand_packing,5000,20261925,2.7164,0.0076,0.0552,0.2414,0.6048,0.091,0,0,0.6958,0.091,0
10,12;21;31;41,monte_carlo_with_exact_per_hand_packing,5000,20261925,2.8712,0.0024,0.0352,0.2096,0.595,0.1572,0.0006,0,0.7528,0.1578,0.0006
11,15;21;31,monte_carlo_with_exact_per_hand_packing,5000,20261926,3.1244,0.002,0.0274,0.1366,0.5152,0.3158,0.003,0,0.834,0.3188,0.003
11,12;21;31;41,monte_carlo_with_exact_per_hand_packing,5000,20261926,3.2928,0.0006,0.018,0.1062,0.4566,0.4004,0.0182,0,0.8752,0.4186,0.0182
12,15;21;31,monte_carlo_with_exact_per_hand_packing,5000,20261927,3.481,0.0008,0.0178,0.089,0.3226,0.5316,0.0382,0,0.8924,0.5698,0.0382
12,12;21;31;41,monte_carlo_with_exact_per_hand_packing,5000,20261927,3.6906,0,0.006,0.0618,0.2754,0.55,0.106,0.0008,0.9322,0.6568,0.1068
