hand_size,total,method,samples,seed,ability_probability,two_options_probability,two_disjoint_activations_probability,two_disjoint_ci95_low,two_disjoint_ci95_high
4,2,monte_carlo,5000,20261919,0.025,0.0006,0,0,0.000767730137580694
4,3,monte_carlo,5000,20261919,0.0602,0.0066,0,0,0.000767730137580694
4,4,monte_carlo,5000,20261919,0.0912,0.0074,0,0,0.000767730137580694
4,5,monte_carlo,5000,20261919,0.1282,0.0182,0.002,0.0010867350406975989,0.003677924176332773
4,6,monte_carlo,5000,20261919,0.1634,0.0214,0.0018,0.0009472826989451401,0.0034176836101402633
4,7,monte_carlo,5000,20261919,0.2088,0.0348,0.004,0.0025909223507485585,0.006170665945731489
4,8,monte_carlo,5000,20261919,0.238,0.036,0.0054,0.003713916213769333,0.00784552243832549
4,9,monte_carlo,5000,20261919,0.284,0.0498,0.0062,0.004371360588064539,0.008786849695810154
4,10,monte_carlo,5000,20261919,0.3138,0.0558,0.0068,0.004870303811000636,0.00948698519670896
4,11,monte_carlo,5000,20261919,0.472,0.1688,0.021,0.01737788075604151,0.025357604715760807
4,12,monte_carlo,5000,20261919,0.478,0.1678,0.0216,0.017922572597974227,0.02601199159766299
4,13,monte_carlo,5000,20261919,0.4646,0.1576,0.0172,0.013949165667525344,0.021192154553322576
4,14,monte_carlo,5000,20261919,0.4724,0.159,0.0108,0.00828714962565902,0.014063997540949934
4,15,monte_carlo,5000,20261919,0.4644,0.169,0.0118,0.009159379464301861,0.015190232242031929
4,16,monte_carlo,5000,20261919,0.4588,0.1576,0.0084,0.006220620278197563,0.011334211993071774
4,17,monte_carlo,5000,20261919,0.4456,0.1538,0.005,0.0033890775204861016,0.007370975315718786
4,18,monte_carlo,5000,20261919,0.425,0.1498,0.0044,0.00290754291665071,0.006653431195719275
4,19,monte_carlo,5000,20261919,0.4142,0.1494,0.0046,0.003067229476888848,0.006893437543426104
4,20,monte_carlo,5000,20261919,0.593,0.1338,0.0064,0.0045371596862706365,0.009020743505549026
4,21,monte_carlo,5000,20261919,0.305,0.0596,0,0,0.000767730137580694
4,22,monte_carlo,5000,20261919,0.274,0.045,0,0,0.000767730137580694
4,23,monte_carlo,5000,20261919,0.252,0.0376,0,0,0.000767730137580694
4,24,monte_carlo,5000,20261919,0.2328,0.0326,0,0,0.000767730137580694
4,25,monte_carlo,5000,20261919,0.212,0.034,0,0,0.000767730137580694
4,26,monte_carlo,5000,20261919,0.188,0.0238,0,0,0.000767730137580694
4,27,monte_carlo,5000,20261919,0.164,0.0218,0,0,0.000767730137580694
4,28,monte_carlo,5000,20261919,0.1404,0.0162,0,0,0.000767730137580694
4,29,monte_carlo,5000,20261919,0.1274,0.0138,0,0,0.000767730137580694
4,30,monte_carlo,5000,20261919,0.1394,0.0064,0,0,0.000767730137580694
4,31,monte_carlo,5000,20261919,0.0568,0,0,0,0.000767730137580694
4,32,monte_carlo,5000,20261919,0.0418,0,0,0,0.000767730137580694
4,33,monte_carlo,5000,20261919,0.0366,0,0,0,0.000767730137580694
4,34,monte_carlo,5000,20261919,0.0284,0,0,0,0.000767730137580694
4,35,monte_carlo,5000,20261919,0.0282,0,0,0,0.000767730137580694
4,36,monte_carlo,5000,20261919,0.021,0,0,0,0.000767730137580694
